iter	Passed	Remaining
0	1	175
1	3	169
2	5	173
3	6	162
4	8	162
5	10	160
6	12	164
7	14	170
8	16	162
9	18	162
10	19	158
11	21	158
12	23	157
13	24	152
14	26	151
15	27	146
16	29	146
17	31	142
18	33	141
19	34	137
20	36	135
21	37	132
22	38	130
23	40	129
24	43	130
25	45	130
26	47	128
27	49	126
28	51	125
29	53	124
30	54	122
31	56	119
32	57	116
33	58	113
34	60	113
35	62	111
36	64	110
37	65	107
38	67	105
39	68	102
40	70	101
41	71	98
42	72	95
43	74	94
44	75	92
45	77	90
46	79	89
47	81	88
48	83	86
49	84	84
50	86	83
51	89	82
52	91	80
53	93	79
54	94	77
55	95	75
56	97	73
57	99	72
58	101	70
59	103	69
60	105	67
61	107	65
62	109	64
63	111	62
64	113	60
65	114	59
66	116	57
67	116	55
68	118	53
69	119	51
70	121	49
71	123	47
72	124	46
73	125	44
74	127	42
75	128	40
76	130	38
77	132	37
78	133	35
79	134	33
80	136	31
81	137	30
82	138	28
83	140	26
84	141	25
85	143	23
86	144	21
87	145	19
88	147	18
89	148	16
90	149	14
91	151	13
92	152	11
93	153	9
94	155	8
95	156	6
96	157	4
97	158	3
98	159	1
99	160	0
